"Qty";"Value";"Device";"Package";"Parts";"Description";"CASE";"HEIGHT";"MF";"MONTHLY_USAGE";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART_NUMBER";"POPULARITY";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"2";"100";"R-EU_R0603";"R0603";"R112, R121";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100R";"R-EU_R0603";"R0603";"R110, R122";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100k";"R-EU_R0603";"R0603";"R113, R123, R124";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"100n";"C-EUC0603";"C0603";"C101, C102, C105, C107, C109, C110";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11";"10k";"R-EU_R0603";"R0603";"R102, R103, R106, R107, R108, R111, R114, R116, R117, R118, R120";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10µ";"C-EUC1206";"C1206";"C103, C106, C108";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10µ";"C-EUC1206K";"C1206K";"C104";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"20k";"POTI.M64X201KB40";"M64X201KB40";"R101, R115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22-05-7068-06";"22-05-7068-06";"7395-06";"J1";"CONNECTOR";"";"";"MOLEX";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"3";"39k";"R-EU_R0603";"R0603";"R104, R105, R109";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"680k";"R-EU_R0603";"R0603";"R119, R125";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BSPD active";"PINHD-1X1";"1X01";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
"2";"BSS138";"N-MOSFET.SOT23";"SOT-23";"T102, T103";"";"";"1.2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CP1-12V";"CP1-12V";"CP1";"K101";"ULTRA-MINIATURE LOW PROFILE AUTOMOTIVE RELAY NAiS";"";"";"AROMAT/ MATSUSHITA";"";"CP1-12V";"unknown";"10C5508";"";"";"";"";"";"";"";
"1";"Current  ";"PINHD-1X1";"1X01";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
"3";"DF2B36FU";"DF2B36FU";"SOD323";"D101, D102, D104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GND";"PINHD-1X1";"1X01";"JP6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
"1";"LM1117MPX-5.0";"0022_LM1117IMPX-5.0";"LINEAR_SOT223";"I105";"Low-dropout linear regulator 5V  -LM1117IMPX-5.0";"SOT223";"";"";"_____";"";"";"";"";"LM1117IMPX-5.0";"";"_____";"_____";"Circuito_Integrato";"LM1117IMPX-5.0";
"3";"LM393AD";"LM393AD";"SOIC127P600X175-8N";"I101, I102, I103";"DUAL DIFFERENTIAL COMPARATORS,SOIC-8";"";"";"";"";"LM393AD";"4586128";"91F3640";"SOIC- 8";"";"";"";"TEXAS INSTRUMENTS";"";"";
"1";"MCL4148";"D.MCL4148";"MICROMELF";"D103";"";"";"1.2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Pressure ";"PINHD-1X1";"1X01";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
"1";"SC close";"PINHD-1X1";"1X01";"JP5";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
"1";"SN74AUC1G02DBVR";"NC7SZ08M5X";"SOT95P280X145-5N";"I104";"Tiny logic UHS Two Input AND Gate";"";"";"";"";"NC7SZ08M5X";"1613980";"58K1975";"SOT-23-5";"";"";"";"Fairchild";"";"";
"1";"Si2309CDS";"P-MOSFET.SOT23";"SOT-23";"T101";"";"";"1.2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"active > 500ms";"PINHD-1X1";"1X01";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";
