"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"23";"100kΩ";"R-US_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"2";"100nF";"C-EUC0603";"C0603";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"3";"10kΩ";"R-US_R0603";"R0603";"R26, R27, R28";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"10μF";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"2";"10μF";"ECA1VM100";"CAPPRD200W55D525H1200";"C1, C2";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";
"5";"22-23-2021";"22-23-2021";"22-23-2021";"ACC+, ACC-, HV+, HV-, SUPPLY";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"40";"";
"1";"22-23-2041";"22-23-2041";"22-23-2041";"SC";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2041";"1462920";"38C0355";"21";"";
"1";"7,87kΩ";"R-US_R0603";"R0603";"R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"8,3kΩ";"R-US_R0603";"R0603";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"ADUM5242ARZ";"ADUM5242ARZ";"SOIC127P600X175-8N";"IC3";"Analog Devices ADUM5242ARZ PCB SMT 2-channel Digital Isolator, 2500 V, 8-Pin SOIC";"ADUM5242ARZ";"https://www.arrow.com/en/products/adum5242arz/analog-devices";"Analog Devices ADUM5242ARZ PCB SMT 2-channel Digital Isolator, 2500 V, 8-Pin SOIC";"mm";"Analog Devices";"ADUM5242ARZ";"";"584-ADUM5242ARZ";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADUM5242ARZ?qs=WIvQP4zGanhQ0%252B41E0Savw%3D%3D";"";"";"";"";"";
"2";"BAV16W-7-F";"BAV16W-7-F";"SOD3716X145N";"D2, D3";"Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc BAV16W-7-F Switching Diode, 300mA 100V, 2-Pin SOD-123";"BAV16W-7-F";"https://www.arrow.com/en/products/bav16w-7-f/diodes-incorporated";"Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc BAV16W-7-F Switching Diode, 300mA 100V, 2-Pin SOD-123";"1.45mm";"Diodes Inc.";"BAV16W-7-F";"";"621-BAV16W-F";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BAV16W-7-F?qs=Ge55vsXlF7cElS2bbKfO8A%3D%3D";"";"";"";"";"";
"1";"CDSOD323-T15SC";"CDSOD323-T15SC";"SOD-323";"D1";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"CDSOD323-T15SC";"https://www.arrow.com/en/products/cdsod323-t15sc/bourns?region=nac";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"mm";"Bourns";"CDSOD323-T15SC";"";"652-CDSOD323-T15SC";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T15SC?qs=6S5Watp5UnLvz%2FtnS7XuhA%3D%3D";"";"";"";"";"";
"2";"CP1-12V";"CP1-12V";"CP1FORMC_1";"AIR+, PRE";"PANASONIC ELECTRIC WORKS - CP1-12V - RELAY, AUTOMOTIVE, SPDT, 14VDC, 20A";"CP1-12V";"https://www.arrow.com/en/products/cp1-12v/panasonic?region=nac";"PANASONIC ELECTRIC WORKS - CP1-12V - RELAY, AUTOMOTIVE, SPDT, 14VDC, 20A";"mm";"Panasonic";"CP1-12V";"";"769-CP1-12V";"https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/CP1-12V?qs=mTeSeKeuVA7dPPafy7M16g%3D%3D";"";"";"";"";"";
"2";"DMN2041L-7";"DMN2041L-7";"SOT96P240X110-3N";"NMOS, Q1";"Diodes Inc DMN2041L-7 N-channel MOSFET Transistor, 6.4 A, 20 V, 3-Pin SOT-23";"DMN2041L-7";"https://www.arrow.com/en/products/dmn2041l-7/diodes-incorporated?region=nac";"Diodes Inc DMN2041L-7 N-channel MOSFET Transistor, 6.4 A, 20 V, 3-Pin SOT-23";"1.1mm";"Diodes Inc.";"DMN2041L-7";"";"621-DMN2041L-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2041L-7?qs=tiksPeNXt0LSbn3jTreVOg%3D%3D";"";"";"";"";"";
"1";"L4941BDT-TR";"L4941BDT-TR";"TO228P972X240-3N";"IC1";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"L4941BDT-TR";"https://www.arrow.com/en/products/l4941bdt-tr/stmicroelectronics?region=nac";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"2.4mm";"STMicroelectronics";"L4941BDT-TR";"";"511-L4941BDT-TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/L4941BDT-TR?qs=tPFdqECvbMIySYN92F2N4Q%3D%3D";"";"";"";"";"";
"1";"SC_OUT";"22-23-2041";"22-23-2041";"SC_OUT";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2041";"1462920";"38C0355";"21";"";
"2";"TS391ILT";"TS391ILT";"SOT95P280X145-5N";"COMPARATEUR, IC2";"TS391ILT, Comparator Open Collector 0.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 5-Pin SOT-23";"TS391ILT";"https://www.arrow.com/en/products/ts391ilt/stmicroelectronics?region=nac";"TS391ILT, Comparator Open Collector 0.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 5-Pin SOT-23";"1.45mm";"STMicroelectronics";"TS391ILT";"";"511-TS391IL";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TS391ILT?qs=P8h1tZw8GcB9GWR61XM17g%3D%3D";"";"";"";"";"";
