AND, 9.40, 19.05, 180.00, SN74LVC1G08DCKR, SOT65P210X110-5N
C10, 32.89, 17.78, 90.00, 100nF, C0603
C11, 22.61, 19.05, 90.00, 10μF, C0603
C12, 6.10, 25.15, 90.00, 100nF, C0603
C13, 35.18, 17.78, 270.00, 100nF, C0603
C14, 22.61, 25.40, 90.00, 10μF, C0603
C15, 47.63, 14.22, 90.00, 10μF, C0603
C16, 1.78, 22.10, 270.00, 100nF, C0603
C17, 1.78, 19.05, 90.00, 100nF, C0603
C18, 22.61, 15.88, 90.00, 10μF, C0603
C2, 35.18, 14.61, 270.00, 100nF, C0603
C3, 42.67, 16.64, 180.00, 100nF, C0603
C5, 8.38, 6.35, 90.00, 100nF, C0603
C6, 20.45, 15.88, 270.00, 100nF, C0603
C7, 22.61, 6.35, 270.00, 10μF, C0603
C8, 22.61, 12.70, 270.00, 100nF, C0603
C9, 1.78, 25.15, 90.00, 100nF, C0603
COMPARATOR_1, 15.49, 22.61, 0.00, LM293DT, SOIC127P600X175-8N
COMPARATOR_2, 15.49, 7.62, 0.00, LM293DT, SOIC127P600X175-8N
COMPARATOR_3, 27.81, 22.48, 0.00, LM293DT, SOIC127P600X175-8N
COMPARATOR_4, 15.49, 28.19, 0.00, LM293DT, SOIC127P600X175-8N
COMPARATOR_5, 27.81, 28.19, 0.00, LM293DT, SOIC127P600X175-8N
CONVERTER_12VDC-5VDC, 43.62, 21.08, 180.00, L4941BDT-TR, TO228P972X240-3N
D1, 33.15, 14.61, 90.00, CDSOD323-T15SC, SOD-323
D_FLIP_FLOP, 27.81, 14.99, 0.00, SN74AC74DE4, SOIC127P600X175-14N
IC12, 40.26, 13.08, 0.00, NE555D, SOIC127P600X175-8N
NMOS_1, 46.48, 7.62, 180.00, DMN2041L-7, SOT96P240X110-3N
NMOS_2, 34.04, 6.60, 90.00, DMN2041L-7, SOT96P240X110-3N
OPTO_1, 40.26, 7.49, 0.00, AQY221R2S, SOP254P680X230-4N
OPTO_2, 27.94, 7.49, 0.00, AQY221R2S, SOP254P680X230-4N
OR, 34.04, 10.79, 90.00, SN74LVC1G32DBVR, SOT95P280X145-5N
PMOS_1, 46.48, 3.94, 0.00, DMP3125L-7, SOT96P240X110-3N
PMOS_2, 34.04, 2.67, 90.00, DMP3125L-7, SOT96P240X110-3N
R1, 3.94, 22.10, 90.00, 10kΩ, R0603
R10, 20.45, 9.53, 90.00, 10kΩ, R0603
R11, 20.45, 6.35, 270.00, 100kΩ, R0603
R12, 22.61, 9.53, 270.00, 100kΩ, R0603
R13, 8.38, 22.10, 90.00, 10kΩ, R0603
R14, 8.38, 12.70, 90.00, 10kΩ, R0603
R15, 10.54, 12.70, 90.00, 10kΩ, R0603
R16, 20.45, 12.70, 270.00, 10kΩ, R0603
R17, 6.22, 28.32, 90.00, 2,49kΩ, R0603
R18, 10.54, 25.15, 90.00, 2,49kΩ, R0603
R19, 3.94, 25.15, 90.00, 10kΩ, R0603
R2, 8.38, 15.88, 90.00, 10kΩ, R0603
R20, 8.38, 25.15, 270.00, 2,49kΩ, R0603
R21, 10.54, 22.10, 90.00, 10kΩ, R0603
R22, 8.38, 28.32, 270.00, 10kΩ, R0603
R23, 35.18, 20.96, 270.00, 2,49kΩ, R0603
R24, 32.89, 20.96, 90.00, 10kΩ, R0603
R25, 10.54, 28.32, 270.00, 10kΩ, R0603
R26, 20.45, 22.23, 270.00, 1kΩ, R0603
R27, 22.61, 22.23, 270.00, 100kΩ, R0603
R28, 23.37, 3.30, 270.00, 2kΩ, R0603
R29, 29.85, 3.30, 270.00, 100Ω, R0603
R3, 3.94, 19.05, 90.00, 2,49kΩ, R0603
R30, 27.69, 3.30, 270.00, 10kΩ, R0603
R31, 25.53, 3.30, 90.00, 100Ω, R0603
R32, 37.21, 3.30, 270.00, 2kΩ, R0603
R33, 43.43, 3.30, 90.00, 100Ω, R0603
R34, 41.40, 3.30, 270.00, 10kΩ, R0603
R35, 39.24, 3.30, 270.00, 100Ω, R0603
R36, 47.63, 11.05, 90.00, 24kΩ, R0603
R37, 45.59, 11.05, 270.00, 24kΩ, R0603
R38, 45.59, 14.22, 270.00, 1kΩ, R0603
R39, 20.45, 25.40, 270.00, 100kΩ, R0603
R4, 6.10, 19.05, 270.00, 10kΩ, R0603
R40, 22.61, 28.58, 90.00, 2,49kΩ, R0603
R41, 20.45, 28.58, 90.00, 10kΩ, R0603
R42, 20.45, 19.05, 90.00, 10kΩ, R0603
R5, 10.54, 15.88, 90.00, 10kΩ, R0603
R6, 6.10, 22.10, 270.00, 2,49kΩ, R0603
R7, 10.54, 9.53, 90.00, 10kΩ, R0603
R8, 10.54, 6.35, 90.00, 10kΩ, R0603
R9, 8.38, 9.53, 270.00, 2,49kΩ, R0603
XNOR, 15.49, 15.11, 180.00, HEF4077BT,652, SOIC127P600X175-14N
