"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"6";"";"1,6/0,8";"1,6/0,8";"33Ω_1, 33Ω_1_, 33Ω_2, 33Ω_2_, 680Ω, 680Ω_";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";
"11";"";"PINHD-1X1";"1X01";"+5V, AIR+_STATE, AIR-_STATE, GND, GREEN_ENABLE, GREEN_ON_PMOS, IMPLAUSIBILITY, PRE_STATE, RED_ENABLE, VOLTAGE_ON_ACCUMULATOR, VOLTAGE_ON_INVERTER";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";
"4";"100kΩ";"R-US_R0603";"R0603";"R11, R12, R27, R39";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"11";"100nF";"C-EUC0603";"C0603";"C2, C3, C5, C6, C8, C9, C10, C12, C13, C16, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"4";"100Ω";"R-US_R0603";"R0603";"R29, R31, R33, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"20";"10kΩ";"R-US_R0603";"R0603";"R1, R2, R4, R5, R7, R8, R10, R13, R14, R15, R16, R19, R21, R22, R24, R25, R30, R34, R41, R42";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"5";"10μF";"C-EUC0603";"C0603";"C7, C11, C14, C15, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"2";"1kΩ";"R-US_R0603";"R0603";"R26, R38";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"8";"2,49kΩ";"R-US_R0603";"R0603";"R3, R6, R9, R17, R18, R20, R23, R40";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"2";"22-23-2051";"22-23-2051";"22-23-2051";"CONTACTOR_STATE_AND_VOLTAGE_MEASUREMENT, TSAL_LED_AND_POWER";".100" (2.54mm) Center Header - 5 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2051";"1462952";"38C9178";"4";"";
"2";"24kΩ";"R-US_R0603";"R0603";"R36, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"2";"2kΩ";"R-US_R0603";"R0603";"R28, R32";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
