C2, 34.29, 6.86, 0.00, 100nF, C0603
C3, 40.64, 5.33, 0.00, 100nF, C0603
C5, 10.54, 3.81, 90.00, 100nF, C0603
C6, 40.64, 7.62, 0.00, 100nF, C0603
D1, 34.29, 2.79, 180.00, CDSOD323-T15SC, SOD-323
IC2, 33.97, 11.68, 180.00, L4941BDT-TR, TO228P972X240-3N
IC5, 11.94, 7.11, 0.00, TS391ILT, SOT95P280X145-5N
IC6, 20.32, 12.70, 180.00, ADUM5242ARZ, SOIC127P600X175-8N
R1, 40.64, 9.91, 0.00, 10kΩ, R0603
R10, 12.95, 10.41, 270.00, 100kΩ, R0603
R11, 12.95, 3.81, 90.00, 7,5kΩ, R0603
R12, 7.87, 3.05, 0.00, 10kΩ, R0603
R13, 7.87, 5.33, 180.00, 100kΩ, R0603
R14, 10.29, 10.41, 270.00, 10kΩ, R0603
R15, 40.64, 12.19, 0.00, 10kΩ, R0603
R16, 40.64, 14.48, 0.00, 10kΩ, R0603
R2, 7.87, 18.80, 0.00, 100kΩ, R0603
R3, 7.87, 21.08, 0.00, 100kΩ, R0603
R4, 10.67, 20.32, 270.00, 100kΩ, R0603
R5, 12.95, 20.32, 90.00, 100kΩ, R0603
R6, 12.95, 17.02, 90.00, 100kΩ, R0603
R7, 10.67, 17.02, 90.00, 100kΩ, R0603
R8, 10.67, 13.72, 270.00, 100kΩ, R0603
R9, 12.95, 13.72, 270.00, 100kΩ, R0603
